model_name,num_layers,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mean_ECS,std_ECS,mean_NMI,std_NMI,mean_cluster_ratio,std_cluster_ratio,total_runs
diffpool,1,True,0.0,200,0.005,,1.0,0.5,0.8281485140644086,0.18021301207142312,0.9269850772017459,0.06529923048553574,0.20114942528735627,0.03981725994411212,3
diffpool,1,True,0.0,500,0.01,,1.0,1.0,0.8269604383947301,0.08534690007430197,0.9209907909935229,0.03624176531112682,0.21839080459770113,0.03589079309424366,3
diffpool,1,True,0.5,500,0.01,,1.0,0.1,0.8265317142546431,0.10443542641415446,0.931650828511029,0.03632391762700675,0.20114942528735633,0.009954314986028018,3
diffpool,1,False,0.5,200,0.01,,1.0,0.5,0.8264912263215217,0.030013693443416492,0.9230701131424439,0.013083537459383187,0.21264367816091947,0.009954314986028018,3
diffpool,1,True,0.2,200,0.001,,1.0,0.5,0.825498465536,0.046522245697934284,0.9265726145251637,0.01533270883610785,0.24712643678160914,0.03589079309424364,3
diffpool,1,True,0.0,200,0.01,,1.0,1.0,0.8241250025803395,0.09382489179801937,0.920915284053351,0.03619546134818444,0.21264367816091953,0.026336641925033575,3
diffpool,1,True,0.5,200,0.001,,1.0,1.0,0.8227077182872392,0.12237119303404496,0.9131603507488125,0.04992605945619513,0.21839080459770113,0.02633664192503356,3
diffpool,1,False,0.2,200,0.005,,1.0,1.0,0.8219773296164895,0.11946823460291082,0.9116926019532648,0.05166989376664074,0.264367816091954,0.009954314986028027,3
diffpool,1,False,0.0,200,0.001,,1.0,0.1,0.8204097955444446,0.07692857676294561,0.9228048638875946,0.024973756987908147,0.2528735632183908,0.009954314986027998,3
diffpool,1,True,0.5,200,0.005,,1.0,0.1,0.8203929404820839,0.02022316362727115,0.9255506011312997,0.006817204777647299,0.18965517241379307,0.0,3
diffpool,1,True,0.5,500,0.01,,1.0,0.5,0.8171865461922275,0.037586429808824054,0.9282120479617256,0.01590447573473304,0.18965517241379307,0.017241379310344807,3
diffpool,1,True,0.2,500,0.001,,1.0,1.0,0.8153280010197935,0.051152218200722334,0.9239941632859648,0.021188893417412584,0.2068965517241379,0.017241379310344807,3
diffpool,1,False,0.0,200,0.005,,1.0,0.1,0.8123732948816684,0.0010626176213877825,0.9146030009984397,0.008262146680725679,0.2528735632183908,0.03589079309424363,3
diffpool,1,False,0.2,500,0.001,,1.0,1.0,0.809560346200853,0.12192168395272754,0.9181509856772762,0.03962305107412845,0.2701149425287355,0.03981725994411211,3
diffpool,1,True,0.2,200,0.01,,1.0,0.1,0.8038371951587037,0.04522679512203815,0.9178540469870905,0.023114987911063242,0.18965517241379307,0.017241379310344807,3
diffpool,2,False,0.2,500,0.005,,1.0,1.0,0.7995874334411696,0.12109582820591916,0.8859078507435587,0.05844380373524665,0.20689655172413793,0.029862944958084107,3
diffpool,1,False,0.5,500,0.01,,1.0,0.5,0.7985360103672408,0.06916885120633959,0.9103963231432305,0.024681667694695993,0.22413793103448273,0.017241379310344848,3
diffpool,1,True,0.2,500,0.001,,1.0,0.5,0.7977406320889812,0.04168323322968553,0.9169234717469265,0.017766624963842025,0.20114942528735633,0.009954314986028018,3
diffpool,1,False,0.2,200,0.001,,1.0,0.5,0.7972377605797628,0.18767371170583433,0.9039341025051996,0.08504537333983929,0.31034482758620685,0.04561640191490679,3
diffpool,1,True,0.5,500,0.001,,1.0,0.5,0.794367531161396,0.034280667122747105,0.911939222933241,0.010484025637836097,0.1954022988505747,0.009954314986028018,3
diffpool,1,False,0.5,500,0.005,,1.0,1.0,0.7892840570681553,0.13732394412709906,0.9001697273073864,0.05558323571699647,0.21839080459770113,0.03589079309424366,3
diffpool,1,True,0.5,200,0.01,,1.0,0.1,0.7892132909289508,0.1460429591559384,0.9071598353148627,0.05795706131404009,0.18965517241379307,0.029862944958084055,3
diffpool,1,True,0.0,200,0.001,,1.0,0.5,0.787877693966243,0.037461891879788246,0.906145603671523,0.011717953846551428,0.23563218390804597,0.026336641925033554,3
diffpool,1,True,0.5,200,0.005,,1.0,0.5,0.7875850167721751,0.05462694032889034,0.9135379573952059,0.023625728342627793,0.1839080459770115,0.019908629972056037,3
diffpool,1,False,0.5,200,0.001,,1.0,1.0,0.7872641575353305,0.11550481502645184,0.8907007641230581,0.06642767349143788,0.2701149425287356,0.009954314986028018,3
diffpool,1,True,0.5,500,0.001,,1.0,0.1,0.7827693425743233,0.09349185580019109,0.9116798460593588,0.0376811850078104,0.18390804597701146,0.026336641925033582,3
diffpool,1,False,0.2,200,0.005,,1.0,0.5,0.7815818027078487,0.14621599561398993,0.9017068695917869,0.05506172818455337,0.2988505747126436,0.026336641925033596,3
diffpool,1,True,0.2,200,0.005,,1.0,0.5,0.780796520721752,0.03312911462807839,0.9167599791681674,0.011494059165499655,0.1839080459770115,0.009954314986028018,3
diffpool,1,True,0.2,500,0.005,,1.0,1.0,0.7803081738642811,0.17245697459315049,0.905848763840328,0.07000932977896925,0.21264367816091953,0.035890793094243645,3
diffpool,1,False,0.2,500,0.01,,1.0,0.5,0.7798972722591747,0.0825622921046387,0.8985141722124848,0.03986709283961691,0.2298850574712643,0.026336641925033565,3
diffpool,1,False,0.5,500,0.01,,1.0,0.1,0.7784513243796766,0.1725306748418841,0.8924556685836119,0.07953631899158335,0.18965517241379307,0.029862944958084055,3
diffpool,1,True,0.0,500,0.001,,1.0,1.0,0.7762812568436998,0.15150978707722282,0.8988844778490744,0.05996879192472811,0.20114942528735633,0.019908629972056037,3
diffpool,1,True,0.0,200,0.001,,1.0,1.0,0.7758496230541595,0.10891934195997564,0.8984983096305287,0.038764274017519536,0.2528735632183908,0.009954314986028008,3
diffpool,1,True,0.2,200,0.01,,1.0,0.5,0.7678371753269784,0.04792655718721403,0.898993692657121,0.028261632278282427,0.20114942528735633,0.009954314986028018,3
diffpool,1,True,0.2,500,0.005,,1.0,0.1,0.765152082307489,0.11306792575528933,0.899363345150522,0.045548488595373075,0.17241379310344826,0.0298629449580841,3
diffpool,2,False,0.0,500,0.001,,1.0,0.5,0.7538466263798608,0.05669897008673335,0.8730118546914989,0.03620784538834955,0.22413793103448273,0.03448275862068964,3
diffpool,1,True,0.0,500,0.005,,1.0,1.0,0.7523342561214666,0.05250716190377106,0.8934828314808904,0.025294162727126368,0.18965517241379307,0.0,3
diffpool,2,False,0.2,500,0.001,,1.0,0.1,0.7386073384694464,0.17343145431226267,0.867538354158286,0.07194717677709342,0.17816091954022986,0.04338985307626867,3
diffpool,1,True,0.0,200,0.001,,1.0,0.1,0.7292096182616833,0.10987286551341258,0.8884123358058642,0.034450647830633556,0.2068965517241379,0.029862944958084055,3
diffpool,2,False,0.0,200,0.001,,1.0,0.5,0.7291670199206649,0.04668792534717245,0.8719514468288879,0.028729596504688513,0.1954022988505747,0.009954314986028018,3
diffpool,1,True,0.0,500,0.01,,1.0,0.1,0.7270927218921917,0.20301127780743122,0.8559201866086706,0.12421359007596738,0.18390804597701146,0.026336641925033585,3
diffpool,1,True,0.5,500,0.01,,1.0,1.0,0.7261683500097492,0.07659732590624414,0.8941899215549615,0.037719670202691236,0.18390804597701146,0.026336641925033575,3
diffpool,1,False,0.5,500,0.001,,1.0,1.0,0.7240753153612037,0.18904639574329005,0.8789349968451674,0.08080902664663052,0.21839080459770113,0.026336641925033565,3
diffpool,2,False,0.0,200,0.01,,1.0,0.5,0.7190818469384511,0.07948029972023954,0.8435887744630644,0.04577823434236152,0.2298850574712643,0.026336641925033558,3
diffpool,2,False,0.2,200,0.01,,1.0,0.5,0.7120510378565613,0.14414706720625406,0.8567140974975223,0.0636048932666189,0.17816091954022986,0.026336641925033568,3
diffpool,2,False,0.0,200,0.01,,1.0,0.1,0.7009018098624367,0.08426329898218377,0.8540608679087393,0.03760688006972972,0.16091954022988503,0.009954314986028065,3
diffpool,2,False,0.2,200,0.001,,1.0,0.1,0.6939577357048811,0.10773072596638725,0.8244299145624089,0.07775633137395155,0.17816091954022992,0.009954314986028018,3
diffpool,2,False,0.0,500,0.01,,1.0,1.0,0.6917235922195699,0.1427355984537806,0.8426000264787544,0.059402766475215446,0.1954022988505747,0.019908629972056037,3
diffpool,2,False,0.2,200,0.005,,1.0,0.5,0.6840998229689758,0.11983990970867067,0.842032227391338,0.050147741691404686,0.17241379310344826,0.0298629449580841,3
diffpool,2,False,0.0,500,0.001,,1.0,0.1,0.6780877441823966,0.07669963588388758,0.8470738859038388,0.032124470928726716,0.1954022988505747,0.009954314986028018,3
diffpool,2,False,0.2,500,0.01,,1.0,0.1,0.67040910494004,0.16980636790364229,0.8053144094890893,0.11541026388071993,0.16666666666666666,0.026336641925033575,3
diffpool,2,False,0.0,500,0.01,,1.0,0.5,0.6586410785776743,0.1515583911918599,0.8123533837836033,0.08582093889536518,0.22413793103448273,0.017241379310344848,3
diffpool,2,False,0.2,200,0.005,,1.0,1.0,0.6529046310816728,0.15232220532984167,0.7991361204090993,0.10901422958853486,0.1954022988505747,0.009954314986028018,3
diffpool,2,False,0.0,500,0.005,,1.0,0.1,0.6441650543977487,0.0943788247685536,0.8113030086460777,0.05882718465538611,0.1551724137931034,0.0,3
diffpool,2,False,0.2,200,0.01,,1.0,1.0,0.6302230377400609,0.10623127389347825,0.8015600075439746,0.07382935982953788,0.17816091954022986,0.026336641925033565,3
diffpool,2,False,0.0,200,0.005,,1.0,0.5,0.6296445771810347,0.2033729574398505,0.7975448236398573,0.1034349943587812,0.2068965517241379,0.017241379310344807,3
diffpool,2,False,0.0,200,0.001,,1.0,0.1,0.6210944717474334,0.14936832554890014,0.8014946926809774,0.08782809775714598,0.14942528735632185,0.026336641925033558,3
diffpool,2,False,0.2,200,0.005,,1.0,0.1,0.6022274276619375,0.05102609023520908,0.7997461572976555,0.030102084112072623,0.1436781609195402,0.009954314986028018,3
diffpool,2,False,0.5,500,0.01,,1.0,0.1,0.5996808657470961,0.09561144585816474,0.7944114280223876,0.058970003519474234,0.12643678160919536,0.019908629972056086,3
diffpool,2,False,0.2,500,0.001,,1.0,0.5,0.5975108956600176,0.21223892615627296,0.7645911539769482,0.1741379161416794,0.17241379310344826,0.034482758620689655,3
diffpool,2,False,0.2,500,0.001,,1.0,1.0,0.5853557412810595,0.13575477380266393,0.7652686385903095,0.10937698278360704,0.17241379310344826,0.03448275862068965,3
diffpool,2,False,0.0,500,0.001,,1.0,1.0,0.5808695839354049,0.11195251074763346,0.771412108868598,0.07975652302628503,0.18965517241379307,0.017241379310344807,3
diffpool,2,False,0.5,200,0.01,,1.0,1.0,0.5794774765487717,0.08577015207143214,0.7697647847651689,0.06609998972157996,0.132183908045977,0.009954314986028008,3
diffpool,2,False,0.0,500,0.01,,1.0,0.1,0.5786739149936487,0.09183329439789022,0.7800245039382042,0.05170008525776181,0.14942528735632185,0.026336641925033558,3
diffpool,2,False,0.2,500,0.005,,1.0,0.1,0.573621549923895,0.1158240424805683,0.7565084795714626,0.07514328648719078,0.14942528735632182,0.035890793094243666,3
diffpool,2,False,0.5,200,0.001,,1.0,0.5,0.5698423081949612,0.14553369831716237,0.7702228991265184,0.07981715073349135,0.12643678160919536,0.026336641925033565,3
diffpool,3,False,0.0,200,0.001,,1.0,0.5,0.5678196778766067,0.13748513824436778,0.7381353140465686,0.10539156297510034,0.16091954022988503,0.009954314986028062,3
diffpool,2,False,0.2,500,0.005,,1.0,0.5,0.558967201172087,0.06522700348655376,0.7550760758710716,0.07780225614509677,0.15517241379310343,0.0298629449580841,3
