config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
18,mincut,1,32,False,0.2,200,0.01,1.0,,,0.01,5,1000,60,7,3,1800002,1.0,1.0,12,12,1.0,-0.9044499397277832,1.8076691627502441
19,mincut,1,32,False,0.2,500,0.005,0.1,,,0.01,5,1000,60,7,1,1900000,1.0,1.0,12,12,1.0,-0.9823221564292908,4.3062427043914795
19,mincut,1,32,False,0.2,500,0.005,0.1,,,0.01,5,1000,60,7,2,1900001,1.0,1.0,12,12,1.0,-0.9822724461555481,3.6629445552825928
19,mincut,1,32,False,0.2,500,0.005,0.1,,,0.01,5,1000,60,7,3,1900002,1.0,1.0,12,12,1.0,-0.981667697429657,3.593899965286255
20,mincut,1,32,False,0.2,500,0.005,0.5,,,0.01,5,1000,60,7,1,2000000,1.0,1.0,12,12,1.0,-0.95244300365448,3.6688501834869385
20,mincut,1,32,False,0.2,500,0.005,0.5,,,0.01,5,1000,60,7,2,2000001,1.0,1.0,12,12,1.0,-0.9517502784729004,3.52048397064209
20,mincut,1,32,False,0.2,500,0.005,0.5,,,0.01,5,1000,60,7,3,2000002,1.0,1.0,12,12,1.0,-0.9517790675163269,3.572057008743286
21,mincut,1,32,False,0.2,500,0.005,1.0,,,0.01,5,1000,60,7,1,2100000,1.0,1.0,12,12,1.0,-0.9150227308273315,3.5128397941589355
21,mincut,1,32,False,0.2,500,0.005,1.0,,,0.01,5,1000,60,7,2,2100001,1.0,1.0,12,12,1.0,-0.9125346541404724,3.5562942028045654
21,mincut,1,32,False,0.2,500,0.005,1.0,,,0.01,5,1000,60,7,3,2100002,1.0,1.0,12,12,1.0,-0.9155178666114807,3.5387542247772217
22,mincut,1,32,False,0.2,500,0.01,0.1,,,0.01,5,1000,60,7,1,2200000,1.0,1.0,12,12,1.0,-0.9825493097305298,3.616989850997925
22,mincut,1,32,False,0.2,500,0.01,0.1,,,0.01,5,1000,60,7,2,2200001,1.0,1.0,12,12,1.0,-0.9823281168937683,3.5368430614471436
22,mincut,1,32,False,0.2,500,0.01,0.1,,,0.01,5,1000,60,7,3,2200002,0.8127330960854092,0.9335123558590257,12,10,0.8333333333333334,-0.9402337670326233,3.5767338275909424
23,mincut,1,32,False,0.2,500,0.01,0.5,,,0.01,5,1000,60,7,1,2300000,1.0,1.0,12,12,1.0,-0.9527537822723389,3.5455760955810547
23,mincut,1,32,False,0.2,500,0.01,0.5,,,0.01,5,1000,60,7,2,2300001,1.0,1.0,12,12,1.0,-0.9526631832122803,3.7040011882781982
23,mincut,1,32,False,0.2,500,0.01,0.5,,,0.01,5,1000,60,7,3,2300002,1.0,1.0,12,12,1.0,-0.953064501285553,3.5471551418304443
24,mincut,1,32,False,0.2,500,0.01,1.0,,,0.01,5,1000,60,7,1,2400000,1.0,1.0,12,12,1.0,-0.9191537499427795,3.5836286544799805
24,mincut,1,32,False,0.2,500,0.01,1.0,,,0.01,5,1000,60,7,2,2400001,1.0,1.0,12,12,1.0,-0.9132353663444519,3.536500930786133
24,mincut,1,32,False,0.2,500,0.01,1.0,,,0.01,5,1000,60,7,3,2400002,1.0,1.0,12,12,1.0,-0.9151780009269714,3.5660412311553955
25,mincut,1,32,False,0.5,200,0.005,0.1,,,0.01,5,1000,60,7,1,2500000,0.6069014805427905,0.8482206502927715,12,7,0.5833333333333334,-0.919647753238678,1.4289288520812988
